HOUR,dist_network1
HOUR_0.08333333333333333,0.0
HOUR_0.16666666666666666,0.0
HOUR_0.25,0.0
HOUR_0.3333333333333333,0.0
HOUR_0.41666666666666663,0.0
HOUR_0.49999999999999994,0.0
HOUR_0.5833333333333334,0.0
HOUR_0.6666666666666666,0.0
HOUR_0.75,0.0
HOUR_0.8333333333333334,0.0
HOUR_0.9166666666666666,0.0
HOUR_1.0,0.0
HOUR_1.0833333333333333,0.0
HOUR_1.1666666666666665,0.0
HOUR_1.2499999999999998,0.0
HOUR_1.3333333333333333,0.0
HOUR_1.4166666666666665,0.0
HOUR_1.4999999999999998,0.0
HOUR_1.5833333333333333,0.0
HOUR_1.6666666666666665,0.0
HOUR_1.7499999999999998,0.0
