Navn;Måned;Dag;AB;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;SUM
;;;;0000-0100;0100-0200;0200-0300;0300-0400;0400-0500;0500-0600;0600-0700;0700-0800;0800-0900;0900-1000;1000-1100;1100-1200;1200-1300;1300-1400;1400-1500;1500-1600;1600-1700;1700-1800;1800-1900;1900-2000;2000-2100;2100-2200;2200-2300;2300-2400;0000-2400
Jordbruk;høylast;hverdag;A;-0,051;-0,051;-0,051;-0,052;-0,051;-0,050;-0,050;-0,052;-0,061;-0,062;-0,062;-0,066;-0,062;-0,063;-0,065;-0,061;-0,057;-0,064;-0,061;-0,059;-0,063;-0,065;-0,065;-0,067;-1,411
Jordbruk;høylast;hverdag;B;2,116;2,100;2,091;2,098;2,068;2,070;2,283;3,076;3,415;2,940;2,579;2,423;2,338;2,270;2,256;2,333;2,711;3,236;3,131;2,581;2,367;2,271;2,189;2,105;59,047
Jordbruk;høylast;helg;A;-0,026;-0,026;-0,030;-0,027;-0,028;-0,029;-0,028;-0,026;-0,038;-0,049;-0,043;-0,039;-0,037;-0,035;-0,056;-0,046;-0,046;-0,046;-0,027;-0,031;-0,035;-0,036;-0,038;-0,035;-0,857
Jordbruk;høylast;helg;B;2,151;2,149;2,138;2,149;2,120;2,111;2,279;2,846;3,402;3,018;2,573;2,376;2,311;2,217;2,199;2,301;2,623;3,207;3,059;2,604;2,400;2,336;2,248;2,186;59,003
Jordbruk;lavlast;hverdag;A;0,003;0,002;0,002;0,002;0,001;0,002;-0,002;-0,002;-0,004;-0,002;0,006;0,009;0,006;0,011;0,014;0,006;-0,004;-0,004;0,007;0,016;0,016;0,008;0,004;0,001;0,098
Jordbruk;lavlast;hverdag;B;1,865;1,852;1,841;1,827;1,818;1,795;1,970;2,702;3,108;2,732;2,405;2,237;2,125;2,064;2,044;2,149;2,522;3,014;2,926;2,438;2,195;2,111;2,006;1,914;53,660
Jordbruk;lavlast;helg;A;-0,006;-0,007;-0,007;-0,008;-0,010;-0,007;-0,011;-0,009;-0,019;-0,027;-0,018;-0,006;-0,007;-0,007;-0,008;-0,009;-0,016;-0,022;-0,007;-0,004;-0,004;-0,006;-0,010;-0,010;-0,245
Jordbruk;lavlast;helg;B;1,873;1,853;1,837;1,831;1,817;1,807;1,944;2,517;3,055;2,779;2,378;2,162;2,093;2,019;1,999;2,106;2,430;3,009;2,825;2,377;2,126;2,047;1,975;1,892;52,751
Husholdning;høylast;hverdag;A;-0,056;-0,058;-0,059;-0,061;-0,063;-0,068;-0,068;-0,080;-0,070;-0,066;-0,062;-0,065;-0,061;-0,060;-0,060;-0,060;-0,059;-0,062;-0,061;-0,056;-0,058;-0,054;-0,055;-0,056;-1,478
Husholdning;høylast;hverdag;B;2,536;2,442;2,423;2,412;2,458;2,558;2,837;3,038;2,987;2,913;2,887;2,809;2,715;2,668;2,685;2,904;3,201;3,369;3,491;3,536;3,470;3,401;3,191;2,799;69,730
Husholdning;høylast;helg;A;-0,056;-0,057;-0,050;-0,054;-0,057;-0,056;-0,054;-0,057;-0,059;-0,054;-0,054;-0,056;-0,049;-0,046;-0,050;-0,048;-0,054;-0,058;-0,057;-0,052;-0,056;-0,057;-0,061;-0,065;-1,317
Husholdning;høylast;helg;B;2,643;2,468;2,421;2,404;2,425;2,456;2,520;2,609;2,811;3,093;3,213;3,187;3,132;3,097;3,109;3,237;3,274;3,355;3,464;3,533;3,496;3,338;3,187;2,830;71,302
Husholdning;lavlast;hverdag;A;-0,082;-0,085;-0,086;-0,087;-0,089;-0,092;-0,094;-0,101;-0,100;-0,099;-0,099;-0,099;-0,097;-0,098;-0,103;-0,107;-0,109;-0,114;-0,117;-0,116;-0,110;-0,103;-0,096;-0,088;-2,371
Husholdning;lavlast;hverdag;B;2,445;2,343;2,315;2,304;2,321;2,389;2,618;2,901;2,945;2,915;2,865;2,793;2,691;2,682;2,753;2,992;3,192;3,341;3,408;3,433;3,409;3,346;3,167;2,793;68,361
Husholdning;lavlast;helg;A;-0,087;-0,084;-0,084;-0,086;-0,087;-0,091;-0,091;-0,091;-0,092;-0,096;-0,103;-0,106;-0,104;-0,102;-0,108;-0,112;-0,116;-0,118;-0,120;-0,116;-0,110;-0,100;-0,095;-0,088;-2,387
Husholdning;lavlast;helg;B;2,580;2,378;2,324;2,307;2,305;2,342;2,379;2,470;2,680;2,944;3,118;3,147;3,043;3,013;3,121;3,208;3,276;3,337;3,407;3,424;3,397;3,299;3,139;2,816;69,454
Industri-1;høylast;hverdag;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-1;høylast;hverdag;B;107,133;106,377;112,671;125,561;123,883;149,508;210,079;281,420;301,317;304,861;306,550;305,595;303,247;297,228;284,303;241,682;208,777;185,799;157,850;144,596;129,745;118,621;114,933;111,846;4733,582
Industri-1;høylast;helg;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-1;høylast;helg;B;107,286;102,043;100,498;100,635;99,890;99,892;103,752;104,773;110,019;119,227;123,649;126,109;123,465;123,772;119,859;115,739;115,594;115,150;112,861;112,816;111,567;110,379;110,164;108,648;2677,787
Industri-1;lavlast;hverdag;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-1;lavlast;hverdag;B;104,767;97,558;96,979;103,395;103,837;103,557;128,651;190,887;273,450;295,530;300,267;302,200;302,231;299,898;294,786;279,434;224,146;190,067;170,029;151,208;138,950;125,529;113,548;110,230;4501,134
Industri-1;lavlast;helg;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-1;lavlast;helg;B;102,693;95,583;94,579;93,518;93,080;93,274;98,590;99,517;103,657;112,609;116,219;118,420;115,529;115,706;113,198;110,192;109,004;108,388;106,635;105,765;104,348;103,586;103,264;102,731;2520,085
Industri-2;høylast;hverdag;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-2;høylast;hverdag;B;111,846;107,133;106,377;112,671;125,561;123,883;210,079;281,420;301,317;304,861;305,595;305,595;305,595;305,595;305,595;305,595;305,595;305,595;305,595;305,595;305,595;305,595;305,595;284,303;6042,186
Industri-2;høylast;helg;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-2;høylast;helg;B;107,286;102,043;100,498;100,635;99,890;99,892;104,773;110,019;119,227;123,465;123,465;123,465;123,465;123,465;123,465;123,465;123,465;123,465;123,465;123,465;123,465;123,465;123,465;115,739;2788,512
Industri-2;lavlast;hverdag;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-2;lavlast;hverdag;B;104,767;97,558;96,979;103,395;103,837;103,557;190,887;273,450;295,530;300,267;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;279,434;5878,664
Industri-2;lavlast;helg;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-2;lavlast;helg;B;102,693;95,583;94,579;93,518;93,080;93,274;99,517;103,657;112,609;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;110,192;2625,768
Industri-3;høylast;hverdag;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-3;høylast;hverdag;B;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;304,861;7316,664
Industri-3;høylast;helg;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-3;høylast;helg;B;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;123,649;2967,576
Industri-3;lavlast;hverdag;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-3;lavlast;hverdag;B;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;302,231;7253,544
Industri-3;lavlast;helg;A;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Industri-3;lavlast;helg;B;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;116,219;2789,256
Varehandel;høylast;hverdag;A;-2,612;-2,617;-2,594;-2,581;-2,696;-2,782;-2,786;-2,751;-2,867;-3,604;-4,008;-3,938;-3,910;-3,873;-3,651;-3,415;-3,589;-3,228;-2,871;-3,149;-2,724;-2,948;-2,639;-2,761;-74,594
Varehandel;høylast;hverdag;B;110,838;112,498;110,461;110,690;110,832;113,092;117,935;128,397;144,894;164,127;170,017;167,751;165,096;164,520;164,238;162,386;161,509;152,737;142,092;121,101;114,631;111,380;110,273;109,250;3240,745
Varehandel;høylast;helg;A;-1,914;-1,892;-2,094;-1,880;-1,847;-1,745;-1,442;-1,704;-3,217;-3,599;-4,055;-4,110;-3,713;-2,869;-1,773;-2,035;-2,125;-2,122;-2,103;-1,897;-1,934;-1,963;-1,781;-2,058;-55,872
Varehandel;høylast;helg;B;109,361;111,910;109,971;111,174;111,817;113,420;117,961;122,651;128,003;132,506;132,730;128,448;126,059;120,693;115,034;106,718;105,483;107,015;111,133;107,470;110,712;110,149;112,517;111,258;2774,193
Varehandel;lavlast;hverdag;A;-1,755;-1,756;-1,635;-1,698;-1,706;-1,837;-1,880;-1,934;-1,811;-2,223;-1,625;-1,557;-1,424;-1,191;-1,129;-1,120;-1,401;-1,197;-1,643;-1,573;-1,894;-1,625;-1,609;-1,627;-38,850
Varehandel;lavlast;hverdag;B;103,191;104,025;102,465;102,636;103,285;105,903;108,848;119,050;133,031;155,064;163,238;163,159;161,355;159,878;158,227;157,515;156,175;146,592;134,103;115,270;109,813;106,609;103,688;103,144;3076,264
Varehandel;lavlast;helg;A;-1,734;-1,696;-1,552;-1,655;-1,752;-1,919;-1,961;-1,818;-1,996;-1,957;-1,622;-1,374;-1,303;-1,189;-1,402;-1,503;-1,467;-1,484;-1,533;-1,479;-1,851;-1,689;-1,737;-1,740;-39,413
Varehandel;lavlast;helg;B;101,924;102,297;100,746;101,358;102,657;104,326;107,030;111,590;118,848;126,857;128,552;126,623;125,302;119,634;110,033;101,573;100,982;101,975;103,401;100,893;102,497;103,972;104,275;104,586;2611,931
Kontor;høylast;hverdag;A;-0,846;-0,472;-0,333;0,667;1,941;1,612;2,740;2,459;-3,175;-4,386;-4,770;-5,197;-5,173;-5,239;-4,945;-4,526;-1,359;-0,581;-0,176;-1,250;-1,718;-1,181;-1,039;-0,971;-37,918
Kontor;høylast;hverdag;B;111,846;107,133;106,377;112,671;125,561;123,883;149,508;210,079;281,420;301,317;304,861;306,550;305,595;303,247;297,228;284,303;241,682;208,777;185,799;157,850;144,596;129,745;118,621;114,933;4733,582
